state,enrolment_load,demographic_update_load,biometric_update_load,volatility,ASPI
West Bengal,0.36843283318345854,0.995787390625172,0.8232606628553281,0.9615164176515013,0.7296545162807442
Tamil Nadu,0.21675037403252218,1.0,1.0,1.0,0.7258626309113827
Bihar,0.5984363280805162,0.6629575092341983,0.6039717565544556,0.8597892609957132,0.6453118328366254
Uttar Pradesh,1.0,0.32539345765131195,0.32157989993755776,0.4579548912400355,0.5738085014037866
Andhra Pradesh,0.12534507199880623,0.8818854869472202,0.7780049715296188,0.5954976078004963,0.5624874249462025
Karnataka,0.21915164319064467,0.7248021412216179,0.7089515749833122,0.6854704754626546,0.5399286587753045
Maharashtra,0.3623874466439171,0.5561958508063471,0.5525682917723361,0.5539084408311675,0.4872272785934759
Odisha,0.11666280526355058,0.5712198692045812,0.5714920558026126,0.5905100287701166,0.4141219594312819
Kerala,0.07362943096007571,0.5882723672583694,0.5855265507236042,0.4535945208730663,0.393993100781745
Madhya Pradesh,0.48493561928397805,0.2932764179256109,0.28676313916370466,0.40275870954874066,0.3696770478728758
Assam,0.22598632670611843,0.40237996220721833,0.32524948632767614,0.4138292375355736,0.32250449834478334
Gujarat,0.2754175223928657,0.299564111132922,0.29663106474212214,0.304834657610653,0.29090659812397546
Telangana,0.1291668793710756,0.36726284460569003,0.3629308971348761,0.38232872221869757,0.2843528576671723
Rajasthan,0.34208464719210546,0.23488848166471712,0.2229883586809031,0.3162020075570169,0.27756346144257954
Jharkhand,0.15465704850053208,0.2675847863828073,0.26354454205283273,0.3372304597008223,0.23401458437331885
Chhattisgarh,0.10133041699226802,0.1441914855591315,0.13765758071253548,0.15679362604653735,0.12881684939782084
Punjab,0.07534153783324236,0.05882519085021895,0.06080867984153766,0.052216174628223005,0.06444088291990722
Meghalaya,0.10776259831852256,0.034721110557702065,0.02884551178588858,0.04979565207343767,0.06032418573260941
Haryana,0.09645425022677562,0.029776237438432697,0.02939745838353694,0.034677909099157786,0.05350901431670129
Orissa,0.004072144099710591,0.08506282623692384,0.08677289936530151,0.029841042370839555,0.051621427384385195
Uttarakhand,0.037007622017066095,0.04769116218238176,0.04980393112008656,0.04316917334990121,0.044027916475699425
Tripura,0.011077645617438358,0.05771289757504833,0.05908173854683411,0.05087180108262331,0.04104865998358878
Delhi,0.09279933400613374,0.009454859718428422,0.008880535548625857,0.012795125827059434,0.038815871287537745
Jammu and Kashmir,0.04711239039178189,0.030913522834963885,0.03189744854355671,0.03575506603129396,0.037313262226631394
